Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),MPN (product.metafields.shopwoo._sw_mpn),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
gray-cashmere-tank-tops,Gray Cashmere Tank Tops,"<p>The sparkling knit Tank Top by Brunello Cucinelli embodies minimalist femininity enhanced by subtle luminous details. Crafted from a luxurious cashmere and silk blend, this sleeveless piece features a clean, refined silhouette illuminated by a delicate built-in sparkle within the knit. Designed as an elevated layering essential, it combines simplicity with elegant charm, showcasing the unmistakable quality of Italian craftsmanship. Hand wash.</p>
<p>Season: SS26<br>
Fit: Regular<br>
Composition: 51% Kashmir/capra Hircus 22% Silk 20% Polyamide 7% Polyester</p>
",Brunello Cucinelli,,,"112075178262, 13426, Brunello Cucinelli, Clothing, Gray, L, M, New with tags, T-Shirts - Clothing, Tank Tops - T-Shirts - Clothing, Women",TRUE,Italian Size WOMEN,M,,,,,,,,BR-M41848600C079-M,0,shopify,deny,manual,1120,1520,TRUE,TRUE,,,,,'00000000000029279140,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10397106.jpg?v=1772549780,1,,FALSE,,,,,,,,,,kg,,700,active
gray-cashmere-tank-tops,,,,,,,,,L,,,,,,,,BR-M41848600C079-L,0,shopify,deny,manual,1120,1520,TRUE,TRUE,,,,,'00000000000029279141,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10397107.jpg?v=1772549780,2,,,,,,,,,,,,kg,,700,
gray-cashmere-tank-tops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10397109.jpg?v=1772549780,3,,,,,,,,,,,,,,,
brown-copper-sleeveles-t-shirt,Brown Copper Sleeveles T-Shirt,"<p>The sleeveless Top by Magda Butrym is made from a soft, stretchy cupro blend, featuring a rounded neckline and voluminous gathered draping. The smooth inner lining balances the lightweight structure, while padding on the shoulders defines the silhouette. The elasticated hem creates a bubble effect, and the back closure with covered buttons and snaps adds a practical and elegant touch. A sophisticated and original garment.</p>
<p>Season: SS26<br>
Fit: Regular<br>
Composition: 92% Cupro 8% Elastane</p>
",Magda Butrym,,,"112075178262, 13426, Brown, Clothing, IT38 | S, Magda Butrym, New with tags, Sleeveless - T-Shirts - Clothing, T-Shirts - Clothing, Women",TRUE,Italian Size WOMEN,IT38 | S,,,,,,,,MA-287426BROWN-IT38 | S,500,shopify,deny,manual,985,1320,TRUE,TRUE,,,,,'2874260000043,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10280055.jpg?v=1772549084,1,,FALSE,,,,,,,,,,kg,,630,active
brown-copper-sleeveles-t-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10280056.jpg?v=1772549084,2,,,,,,,,,,,,,,,
brown-copper-sleeveles-t-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10280057.jpg?v=1772549083,3,,,,,,,,,,,,,,,
white-yellow-exotic-skin-leather-shopping-tote-papier-bag,White Yellow Exotic Skin Leather Shopping Tote PAPIER Bag,"<p>BALENCIAGA</p>
<p>Absolutely stunning, 100% Authentic, brand new with tags BALENCIAGA papier A4 classic studs bag, crafted in genuine python, features dual rolled slim handles, front zip pocket, studs and buckle details, and silver-tone hardware.<br>
Model: PAPIER, Tote shopping bag<br>
Color: White and lemon yellow shade<br>
Material: 100% Pythonskin Leather<br>
Logo details<br>
Made in Italy<br>
Measurements: 31cm x 41.5cm x 18cm</p>
",Balenciaga,,,"111922446614, 13426, Bags, Balenciaga, Material: 100% Pythonskin Leather, New with tags, Tote Bags - Bags, White, Women",TRUE,Title,Default Title,,,,,,,,BAG1180,2000,shopify,deny,manual,1869.8,3785,TRUE,TRUE,,,,,'8050246189757,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/4400469.jpg?v=1772548611,1,,FALSE,,,,,,,,,,kg,,1029,active
white-yellow-exotic-skin-leather-shopping-tote-papier-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/4400467.jpg?v=1772548611,2,,,,,,,,,,,,,,,
white-yellow-exotic-skin-leather-shopping-tote-papier-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/4400468.jpg?v=1772548611,3,,,,,,,,,,,,,,,
white-yellow-exotic-skin-leather-shopping-tote-papier-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/4400470.jpg?v=1772548612,4,,,,,,,,,,,,,,,
